Topic,Name,Representation,Representative_Docs,Top_n_words,Number of Documents
9,9_ign_指责_策划_星鸣特攻,"['ign', '指责', '策划', '星鸣特攻', '特别', '印象', '头上', '媒体', '乐子', '实锤']","['关于IGN法国这家媒体相信玩家们都印象深刻，在今年4月，IGN法国指责《剑星》女主角为“世界上不存在的女性”；在6月，IGN法国又根据预告片指责《#黑神话悟空#，IGN法国曾表态称如果我们无法核实对这款游戏的评论，我们将不再报道此游戏，》“为什么要从耳朵里掏魔法棒”，每次言论都能引发一波怒喷冲击，而在昨晚，IGN法国终于正式发布了对《黑神话：悟空》的评测文章，并为这款游戏打了9分——比IGN总部', '关于IGN法国这家媒体相信玩家们都印象深刻，在今年4月，IGN法国指责《剑星》女主角为“世界上不存在的女性”；在6月，IGN法国又根据预告片指责《#黑神话悟空#，IGN法国曾表态称如果我们无法核实对这款游戏的评论，我们将不再报道此游戏，》“为什么要从耳朵里掏魔法棒”，每次言论都能引发一波怒喷冲击，而在昨晚，IGN法国终于正式发布了对《黑神话：悟空》的评测文章，并为这款游戏打了9分——比IGN总部', '关于IGN法国这家媒体相信玩家们都印象深刻，在今年4月，IGN法国指责《剑星》女主角为“世界上不存在的女性”；在6月，IGN法国又根据预告片指责《#黑神话悟空#，IGN法国曾表态称如果我们无法核实对这款游戏的评论，我们将不再报道此游戏，》“为什么要从耳朵里掏魔法棒”，每次言论都能引发一波怒喷冲击，而在昨晚，IGN法国终于正式发布了对《黑神话：悟空》的评测文章，并为这款游戏打了9分——比IGN总部']","['ign', '指责', '策划', '星鸣特攻', '特别', '印象', '头上', '媒体', '乐子', '实锤']",45
10,10_爱国_为啥_营销_大部分,"['爱国', '为啥', '营销', '大部分', '真的', '群体', '传统', '文化', '老外', '破防']","['就爱看集美们破大防//要是辱女就能挣70亿，那她们才真的应该害怕，\u200b\u200b::哭马路止痛冲剂，么恶臭的营销吸来的大部分是什么群体我也不多，凸45一掀起你滴头盖骨-星，说句大逆不道的，为啥会有粉红女权下剑这个说，法，就是因为这种只要高举爱国大旗就能无视女，性意愿的风气普遍存在：虽然这个游戏对女性不，礼貌，但是这个游戏是国产3A，弘扬传统文化，震惊老外，文化自', '波刚是这样的，别人看一眼都觉得是在羞辱它////要是辱女就能挣70亿，那她们才真的应该害怕，\u200b\u200b::哭马路止痛冲剂，么恶臭的营销吸来的大部分是什么群体我也不多，凸45一掀起你滴头盖骨-星，说句大逆不道的，为啥会有粉红女权下剑这个说，法，就是因为这种只要高举爱国大旗就能无视女，性意愿的风气普遍存在：虽然这个游戏对女性不，礼貌，但是这个游戏是国产3A，弘扬', '//要是辱女就能挣70亿，那她们才真的应该害怕，\u200b\u200b::哭马路止痛冲剂，么恶臭的营销吸来的大部分是什么群体我也不多，凸45一掀起你滴头盖骨-星，说句大逆不道的，为啥会有粉红女权下剑这个说，法，就是因为这种只要高举爱国大旗就能无视女，性意愿的风气普遍存在：虽然这个游戏对女性不，礼貌，但是这个游戏是国产3A，']","['爱国', '为啥', '营销', '大部分', '真的', '群体', '传统', '文化', '老外', '破防']",45
11,11_态度_联动_抵制_真的,"['态度', '联动', '抵制', '真的', '造谣', '游戏', '莫名其妙', '抹黑', '女玩家', '恋与深空']","['她说的是真的么？游戏不准男的玩么？如果你也这么说我就不玩了//我看不如两家联动一下，也表明一下态度欢迎所有女马楼和男猎人一起加入有爱的大家庭，一起抵制无良中专说唱！ \u200b\u200b', '她说的是真的么？游戏不准男的玩么？如果你也这么说我就不玩了//我看不如两家联动一下，也表明一下态度欢迎所有女马楼和男猎人一起加入有爱的大家庭，一起抵制无良中专说唱！ \u200b\u200b', '最右嘴巴是皮炎吧//她说的是真的么？游戏不准男的玩么？如果你也这么说我就不玩了//我看不如两家联动一下，也表明一下态度欢迎所有女马楼和男猎人一起加入有爱的大家庭，一起抵制无良中专说唱！ \u200b\u200b']","['态度', '联动', '抵制', '真的', '造谣', '游戏', '莫名其妙', '抹黑', '女玩家', '恋与深空']",43
12,12_记者_报道_目的_国内,"['记者', '报道', '目的', '国内', '想要', '实在', '社会', '国外', '黑马', '集美']","['\u200b\u200b::国游戏行！，尔的《纽约时报》工作，报道中国的社会趋势、人口统，最后：这个基金会的记者简介实在精彩纷呈，基本涵盖，了灯塔的一众敌人，无论是国内还是国外，那么写出的，报道出于何目的也不言而喻，这个世界上总有人觉得会，的好会降临在自己头上，殊不知是当了别人的枪，，小红书有集美发帖子给这个记者收集黑材料，在另一个，目前有记者联系我，想要撰写一篇关于黑马喽以，言论已经被全部', '\u200b\u200b::国游戏行！，尔的《纽约时报》工作，报道中国的社会趋势、人口统，最后：这个基金会的记者简介实在精彩纷呈，基本涵盖，了灯塔的一众敌人，无论是国内还是国外，那么写出的，报道出于何目的也不言而喻，这个世界上总有人觉得会，的好会降临在自己头上，殊不知是当了别人的枪，，小红书有集美发帖子给这个记者收集黑材料，在另一个，目前有记者联系我，想要撰写一篇关于黑马喽以，言论已经被全部', '\u200b\u200b::国游戏行！，尔的《纽约时报》工作，报道中国的社会趋势、人口统，最后：这个基金会的记者简介实在精彩纷呈，基本涵盖，了灯塔的一众敌人，无论是国内还是国外，那么写出的，报道出于何目的也不言而喻，这个世界上总有人觉得会，的好会降临在自己头上，殊不知是当了别人的枪，，小红书有集美发帖子给这个记者收集黑材料，在另一个，目前有记者联系我，想要撰写一篇关于黑马喽以，言论已经被全部']","['记者', '报道', '目的', '国内', '想要', '实在', '社会', '国外', '黑马', '集美']",41
13,13_四妹_有个_兄弟_地方,"['四妹', '有个', '兄弟', '地方', '作用', '全是', '第一次', '黑神话悟空', '剧情', '喜欢']","['为什么《黑神话悟空》中四妹的人气如此之高?四妹，非要兄弟们说从来没有这样被人放在心上过你才，你往左走，有个珍玩，叫错金银带钩，作用是加毒，亢，品质不是很好，只是蓝色，但整个第四章，最，深，第一次见你，也说你是毛脸缩腮，还说你是个，你揭完紫符，走到最后一个地方，会听到一声“快，地或许知道你是天命人，或许以为你只是只猴妖，地心里没有齐天大圣，全是你这个不不知好的臭，你掉进盘丝洞，她救你，', '为什么《黑神话悟空》中四妹的人气如此之高?四妹，非要兄弟们说从来没有这样被人放在心上过你才，你往左走，有个珍玩，叫错金银带钩，作用是加毒，亢，品质不是很好，只是蓝色，但整个第四章，最，深，第一次见你，也说你是毛脸缩腮，还说你是个，你揭完紫符，走到最后一个地方，会听到一声“快，地或许知道你是天命人，或许以为你只是只猴妖，地心里没有齐天大圣，全是你这个不不知好的臭，你掉进盘丝洞，她救你，', '为什么《黑神话悟空》中四妹的人气如此之高?四妹，非要兄弟们说从来没有这样被人放在心上过你才，你往左走，有个珍玩，叫错金银带钩，作用是加毒，亢，品质不是很好，只是蓝色，但整个第四章，最，深，第一次见你，也说你是毛脸缩腮，还说你是个，你揭完紫符，走到最后一个地方，会听到一声“快，地或许知道你是天命人，或许以为你只是只猴妖，地心里没有齐天大圣，全是你这个不不知好的臭，你掉进盘丝洞，她救你，']","['四妹', '有个', '兄弟', '地方', '作用', '全是', '第一次', '黑神话悟空', '剧情', '喜欢']",37
14,14_全女_评论_说话_工作室,"['全女', '评论', '说话', '工作室', '十年', '作者', '小时候', '做出', '厉害', 'ghg']","['辱粥了吧这GHG全女工作室真的是太厉害了，\u200b::SturfLave，IGHG工作室]我们已经做出了游戏#全女#，女性#游戏1200条评论，这不就是PPT游戏吗，我差不多十年前就在4399，展开6条√1200条评论，这游戏图标用的图片都是别人的，我去找下作者，这些ppt游戏我小时候在4399玩多了背景图那些，超绝3a大作实', '离谱到我觉得是串子GHG全女工作室真的是太厉害了，\u200b::SturfLave，IGHG工作室]我们已经做出了游戏#全女#，女性#游戏1200条评论，这不就是PPT游戏吗，我差不多十年前就在4399，展开6条√1200条评论，这游戏图标用的图片都是别人的，我去找下作者，这些ppt游戏我小时候在4399玩多了背景图那些，超绝3a大作实', '男宝反串幽默时刻GHG全女工作室真的是太厉害了，\u200b::SturfLave，IGHG工作室]我们已经做出了游戏#全女#，女性#游戏1200条评论，这不就是PPT游戏吗，我差不多十年前就在4399，展开6条√1200条评论，这游戏图标用的图片都是别人的，我去找下作者，这些ppt游戏我小时候在4399玩多了背景图那些，超绝3a大作实机']","['全女', '评论', '说话', '工作室', '十年', '作者', '小时候', '做出', '厉害', 'ghg']",36
15,15_四妹_兄弟_全是_地方,"['四妹', '兄弟', '全是', '地方', '有个', '作用', '第一次', '黑神话悟空', '剧情', '破防']","['出必买//为什么《黑神话悟空》中四妹的人气如此之高?四妹，非要兄弟们说从来没有这样被人放在心上过你才，你往左走，有个珍玩，叫错金银带钩，作用是加毒，亢，品质不是很好，只是蓝色，但整个第四章，最，深，第一次见你，也说你是毛脸缩腮，还说你是个，你揭完紫符，走到最后一个地方，会听到一声“快，地或许知道你是天命人，或许以为你只是只猴妖，地心里没有齐天大圣，全是你这个不不知好的臭，你掉进盘丝', '我的傻妹妹为什么《黑神话悟空》中四妹的人气如此之高?四妹，非要兄弟们说从来没有这样被人放在心上过你才，你往左走，有个珍玩，叫错金银带钩，作用是加毒，亢，品质不是很好，只是蓝色，但整个第四章，最，深，第一次见你，也说你是毛脸缩腮，还说你是个，你揭完紫符，走到最后一个地方，会听到一声“快，地或许知道你是天命人，或许以为你只是只猴妖，地心里没有齐天大圣，全是你这个不不知好的臭，你掉进盘丝', '快出dlc，要不八戒拉我，早干上去了为什么《黑神话悟空》中四妹的人气如此之高?四妹，非要兄弟们说从来没有这样被人放在心上过你才，你往左走，有个珍玩，叫错金银带钩，作用是加毒，亢，品质不是很好，只是蓝色，但整个第四章，最，深，第一次见你，也说你是毛脸缩腮，还说你是个，你揭完紫符，走到最后一个地方，会听到一声“快，地或许知道你是天命人，或许以为你只是只猴妖，地心里没有齐天大圣，全是你这个不不知']","['四妹', '兄弟', '全是', '地方', '有个', '作用', '第一次', '黑神话悟空', '剧情', '破防']",35
16,16_眯眯眼_外国_是因为_意识,"['眯眯眼', '外国', '是因为', '意识', '颜值', '代表', '喜欢', '形象', '西方', '大部分']","['那些瞇瞇眼高华女可得著急了感谢黑神话悟空，让外国玩家知道了原来亚洲并不是只出产丑女，亚洲女形象丑，那仅仅是因为西方喜欢让你们看眯眯眼，而这次的演员让外国玩家们意识到这才是真正的亚洲女性，为中国和亚洲女性正名！，我们这些女的可不是长得和吕燕一样，被她这类人代表，大部分人还是颜值在线的，cosplay！她太漂亮了！国外。', '感谢黑神话悟空，让外国玩家知道了原来亚洲并不是只出产丑女，亚洲女形象丑，那仅仅是因为西方喜欢让你们看眯眯眼，而这次的演员让外国玩家们意识到这才是真正的亚洲女性，为中国和亚洲女性正名！，我们这些女的可不是长得和吕燕一样，被她这类人代表，大部分人还是颜值在线的，cosplay！她太漂亮了！国外。', '讲真，我在路上就没见过吕燕这样的感谢黑神话悟空，让外国玩家知道了原来亚洲并不是只出产丑女，亚洲女形象丑，那仅仅是因为西方喜欢让你们看眯眯眼，而这次的演员让外国玩家们意识到这才是真正的亚洲女性，为中国和亚洲女性正名！，我们这些女的可不是长得和吕燕一样，被她这类人代表，大部分人还是颜值在线的，cosplay！她太漂亮了！国外。']","['眯眯眼', '外国', '是因为', '意识', '颜值', '代表', '喜欢', '形象', '西方', '大部分']",35
17,17_原型_建模_美丽_例子,"['原型', '建模', '美丽', '例子', '提到', '没想到', '情况', '漂亮', '有人', '西方']","['心会骗人在一个外国社区有人发了《黑神话：悟空》的脸部建模人物原型，比如评论萍萍的原型钱思怡：“我一直都知道亚洲女性很美丽，但没想到居然真的有人能长得像萍萍一样漂亮，当然也有很多人提到西方游戏现在的情况，举了《质量效应：仙女座》的例子：“男性角色和建模原型几乎一样，但女性角色就要毁容后才能加入游戏，::QIANSIYI，根低平，眼裂小，眼外侧上斜这些作为唐氏综合征面，容写在', '//那么诸君以胯下二两肉为评判标准又高明在哪呢在一个外国社区有人发了《黑神话：悟空》的脸部建模人物原型，比如评论萍萍的原型钱思怡：“我一直都知道亚洲女性很美丽，但没想到居然真的有人能长得像萍萍一样漂亮，当然也有很多人提到西方游戏现在的情况，举了《质量效应：仙女座》的例子：“男性角色和建模原型几乎一样，但女性角色就要毁容后才能加入游戏，::QIANSIYI，根低平，眼裂小，', '嘴巴可以骗别人，但老二不会骗自己在一个外国社区有人发了《黑神话：悟空》的脸部建模人物原型，比如评论萍萍的原型钱思怡：“我一直都知道亚洲女性很美丽，但没想到居然真的有人能长得像萍萍一样漂亮，当然也有很多人提到西方游戏现在的情况，举了《质量效应：仙女座》的例子：“男性角色和建模原型几乎一样，但女性角色就要毁容后才能加入游戏，根低平，眼裂小，眼外侧上斜这些作为唐氏综合征面，容写在教科书上的']","['原型', '建模', '美丽', '例子', '提到', '没想到', '情况', '漂亮', '有人', '西方']",35
18,18_悟空_女性角色_组织_ign,"['悟空', '女性角色', '组织', 'ign', '审美', '刻板', '黑神话', '真实', '眯眯眼', '黑神话悟空']","['臭不要脸的一群讨饭佬，滚你妈的蛋～吃大便去吧～境外女权组织开始下场狙击《黑神话悟空》，要求争取增加女性角色，比如给悟空加点恋爱戏之类的，《黑神话：悟空》全球大实超1000万，加上中国制背景，，根握YouTuberTSmashJTJ影片指：IGN撰福，人kheeHoonChan封《黑神话：悟空》大夏非常不满，发，文爆粗墨生产商，更指「不要玩、如果非玩', '境外女权组织开始下场狙击《黑神话悟空》，要求争取增加女性角色，比如给悟空加点恋爱戏之类的，\u200b\u200b::HashTECH科技玩物?，《黑神话：悟空》全球大实超1000万，加上中国制背景，，根握YouTuberTSmashJTJ影片指：IGN撰福，人kheeHoonChan封《黑神话：悟空》大夏非常不满，发，文爆粗墨生产商，更指「不要玩、如果非玩不可，就去玩翻。', '境外女权组织开始下场狙击《黑神话悟空》，要求争取增加女性角色，比如给悟空加点恋爱戏之类的，\u200b\u200b::HashTECH科技玩物?，《黑神话：悟空》全球大实超1000万，加上中国制背景，，根握YouTuberTSmashJTJ影片指：IGN撰福，人kheeHoonChan封《黑神话：悟空》大夏非常不满，发，文爆粗墨生产商，更指「不要玩、如果非玩不可，就去玩翻。']","['悟空', '女性角色', '组织', 'ign', '审美', '刻板', '黑神话', '真实', '眯眯眼', '黑神话悟空']",32
19,19_讨论_照片_导致_政治,"['讨论', '照片', '导致', '政治', '世界', '正确', '歧视', '群体', '黑神话', '记者']","['2025都快来了，厌一厌血亲之外的女性应该是加分项了，要是那个女的觉得黑神话辱女，那你感觉对了，就辱，不辱不玩，并且下一个辱的就是你政治正确群体寄生导致宿主低效是全方位无死角的，但我想讨论的不是黑神话，我想讨论的是美联社，日，美联社战地记者乔·罗森塔尔在硫磺岛战场上拍下了这张传遍世界的照片，硫磺岛是二战太平洋战场上最惨烈的战役之一，，美军从2月19日凌晨两点开始，先是空军轰炸，再是舰炮', '坏消息：我方新闻学打我方；好消息：我方新闻学战斗力尚且不如国足，//://:可能是玩尊重女性和性少数群体的游戏玩上瘾了，写稿写慢了，政治正确群体寄生导致宿主低效是全方位无死角的，但我想讨论的不是黑神话，我想讨论的是美联社，日，美联社战地记者乔·罗森塔尔在硫磺岛战场上拍下了这张传遍世界的照片，硫磺岛是二战太平洋战场上最惨烈的战役之一，，美军从2月19日凌晨两点开始，先是空军轰炸，', '//可能是玩尊重女性和性少数群体的游戏玩上瘾了，写稿写慢了，政治正确群体寄生导致宿主低效是全方位无死角的，但我想讨论的不是黑神话，我想讨论的是美联社，日，美联社战地记者乔·罗森塔尔在硫磺岛战场上拍下了这张传遍世界的照片，硫磺岛是二战太平洋战场上最惨烈的战役之一，，美军从2月19日凌晨两点开始，先是空军轰炸，再是舰炮火力覆盖，8点59舰炮火力延伸射击，九点整海军陆战队抢滩登']","['讨论', '照片', '导致', '政治', '世界', '正确', '歧视', '群体', '黑神话', '记者']",32
20,20_瑞幸_抵制_侮辱_几年,"['瑞幸', '抵制', '侮辱', '几年', '黑神话', '没想到', '漂亮', '经济', '联动', '作品']","['你们这个退货率把商家都整迷瞪了，好多女孩都去买男装了，居居女孩认为居居是贬义词，叫了几年居居女孩没想到自己在侮辱自己，neinei是贬义词所以吴尊把女儿的名字取成neinei，我劝你们漂亮，小奶栀你们重拳出击，因为肯德基拒绝诬陷偷拍案例被抵制，因为瑞幸联名黑神话又被抵制，黑神话更是莫须有的又辱女了，一天一天说脱口秀是冒犯艺术，当冒犯你了，又把人家封杀了，鸡贼男，普信男，抠搜男，凤凰男，一个一个侮', '你们这个退货率把商家都整迷瞪了，好多女孩都去买男装了，居居女孩认为居居是贬义词，叫了几年居居女孩没想到自己在侮辱自己，neinei是贬义词所以吴尊把女儿的名字取成neinei，我劝你们漂亮，小奶栀你们重拳出击，因为肯德基拒绝诬陷偷拍案例被抵制，因为瑞幸联名黑神话又被抵制，黑神话更是莫须有的又辱女了，一天一天说脱口秀是冒犯艺术，当冒犯你了，又把人家封杀了，鸡贼男，普信男，抠搜男，凤凰男，一个一个侮', '你们这个退货率把商家都整迷瞪了，好多女孩都去买男装了，居居女孩认为居居是贬义词，叫了几年居居女孩没想到自己在侮辱自己，neinei是贬义词所以吴尊把女儿的名字取成neinei，我劝你们漂亮，小奶栀你们重拳出击，因为肯德基拒绝诬陷偷拍案例被抵制，因为瑞幸联名黑神话又被抵制，黑神话更是莫须有的又辱女了，一天一天说脱口秀是冒犯艺术，当冒犯你了，又把人家封杀了，鸡贼男，普信男，抠搜男，凤凰男，一个一个侮']","['瑞幸', '抵制', '侮辱', '几年', '黑神话', '没想到', '漂亮', '经济', '联动', '作品']",31
21,21_正确_多元化_不到_成功,"['正确', '多元化', '不到', '成功', '刻板', '星鸣特攻', '官方', '政治', '尊重', '印象']","['被称为史上最政治正确，最尊重女性，最多元化，最无法挑剔的游戏，星鸣特攻，在上线不到一个月后，停服了~，在公告中PS官方表示尽管《星鸣特攻》许多特质都引起了玩家的共鸣，但游戏的其他 方面以及首发状况没能达到预期那样成功，绝对没有一点物化痕迹，绝对没有一丝刻板印象，哪怕是最挑剔的评论家，面对这种角色设计也无法挑出任何刺来，完美无瑕，无比正确，::索尼官宣《星鸣特攻》9月6日停', '被称为史上最政治正确，最尊重女性，最多元化，最无法挑剔的游戏，星鸣特攻，在上线不到一个月后，停服了~，在公告中PS官方表示尽管《星鸣特攻》许多特质都引起了玩家的共鸣，但游戏的其他 方面以及首发状况没能达到预期那样成功，绝对没有一点物化痕迹，绝对没有一丝刻板印象，哪怕是最挑剔的评论家，面对这种角色设计也无法挑出任何刺来，完美无瑕，无比正确，::索尼官宣《星鸣特攻》9月6日停', '8分#星鸣特攻停服#，在公告中PS官方表示尽管《星鸣特攻》许多特质都引起了玩家的共鸣，但游戏的其他 方面以及首发状况没能达到预期那样成功，被称为史上最政治正确，最尊重女性，最多元化，最无法挑剔的游戏，星鸣特攻，在上线不到一个月后，停服了~，绝对没有一点物化痕迹，绝对没有一丝刻板印象，哪怕是最挑剔的评论家，面对这种角色设计也无法挑出任何刺来，完美无瑕，无比正确，:IM']","['正确', '多元化', '不到', '成功', '刻板', '星鸣特攻', '官方', '政治', '尊重', '印象']",30
22,22_增加_相关_外媒_几年,"['增加', '相关', '外媒', '几年', '未来', '提供', '公司', '性别', '行业', '游戏科学']","['这是在说什么……多招女员工，给女员工加工资的育碧公司要被黑神话的游戏科学公司踩在脚下了，根据外媒报道育碧为该游戏分配的 资源增加了不少，育碧CEO在周二时表示计 划未来几年内将《刺客信条》的相关工作人员 数量增加40%，Grant表示计划，为为行业中的 女性和非二元性别人士提供指导机会，黑神话的母公司估值18亿，刺客信条的育碧公司估值18.9亿，两者行业地位已相同，现在育碧有2万名员', '多招女员工，给女员工加工资的育碧公司要被黑神话的游戏科学公司踩在脚下了，根据外媒报道育碧为该游戏分配的 资源增加了不少，育碧CEO在周二时表示计 划未来几年内将《刺客信条》的相关工作人员 数量增加40%，Grant表示计划，为为行业中的 女性和非二元性别人士提供指导机会，黑神话的母公司估值18亿，刺客信条的育碧公司估值18.9亿，两者行业地位已相同，现在育碧有2万名员工，', '英国第二大城市伯明翰因为同工同酬需要支付女员工近二十亿英镑赔偿而宣布破产，这不是开玩笑的，根据外媒报道育碧为该游戏分配的 资源增加了不少，育碧CEO在周二时表示计 划未来几年内将《刺客信条》的相关工作人员 数量增加40%，Grant表示计划，为为行业中的 女性和非二元性别人士提供指导机会，多招女员工，给女员工加工资的育碧公司要被黑神话的游戏科学公司踩在脚下了，黑神话的母公司估值18亿，刺']","['增加', '相关', '外媒', '几年', '未来', '提供', '公司', '性别', '行业', '游戏科学']",26
23,23_韩国_视频_一条_外国,"['韩国', '视频', '一条', '外国', '西方', '女性角色', '悟空', '主角', '故事', '游戏']","['//一只猴子，两处开花，三天千万，四载期盼，五洲通游，六章故事，七日通关，八分只给前几天做了一条「借题发挥」的短视频，说「黑神话：悟空」已经又双叒叕让外国玩家开始反思为什么西方游戏的女性角色越做越丑了，直接爆了200万的播放量，因为上半年韩国游戏「星刃」就已经给游戏厂商们上了一课，没有直观的对比，还真不那么容易暴露喂屎的实质，YouTube也有博主展示了十多年来3A游戏女性主角形', '好//一只猴子，两处开花，三天千万，四载期盼，五洲通游，六章故事，七日通关，八分只给前几天做了一条「借题发挥」的短视频，说「黑神话：悟空」已经又双叒叕让外国玩家开始反思为什么西方游戏的女性角色越做越丑了，直接爆了200万的播放量，因为上半年韩国游戏「星刃」就已经给游戏厂商们上了一课，没有直观的对比，还真不那么容易暴露喂屎的实质，YouTube也有博主展示了十多年来3A游戏女性主角形象一路', '追求进步在这过程中产生了包办主义、官僚主义的问题，大明王朝1566与纸牌屋的共通之处前几天做了一条「借题发挥」的短视频，说「黑神话：悟空」已经又双叒叕让外国玩家开始反思为什么西方游戏的女性角色越做越丑了，直接爆了200万的播放量，因为上半年韩国游戏「星刃」就已经给游戏厂商们上了一课，没有直观的对比，还真不那么容易暴露喂屎的实质，YouTube也有博主展示了十多年来3A游戏女性主角形象一路']","['韩国', '视频', '一条', '外国', '西方', '女性角色', '悟空', '主角', '故事', '游戏']",25
24,24_四妹_仙人_孩子_剧情,"['四妹', '仙人', '孩子', '剧情', '故事', '黑神话悟空', '世界', '代表', '女性', '主角']","['#黑神话悟空##黑神话悟空创作者激励#，仔细观察，四妹的头发是盘着的，只有结过婚的才盘大家怎么看，天命人已经兜兜转转转世过好几次了，这个天命人是这一世的转世，所以鹤仙人说下辈子还闹腾的话去天庭找他，2️⃣四妹是盘发的，这个发型是已婚女性的发型，而且他们有孩子的，也是一只小蜘蛛，剧情里有一个情节从四妹袖口里爬出来一只小蜘蛛，四妹说连她也想出去外面的世界看看。', '恐怖啊#黑神话悟空##黑神话悟空创作者激励#，仔细观察，四妹的头发是盘着的，只有结过婚的才盘大家怎么看，天命人已经兜兜转转转世过好几次了，这个天命人是这一世的转世，所以鹤仙人说下辈子还闹腾的话去天庭找他，2️⃣四妹是盘发的，这个发型是已婚女性的发型，而且他们有孩子的，也是一只小蜘蛛，剧情里有一个情节从四妹袖口里爬出来一只小蜘蛛，四妹说连她也想出去外面的世界看', '四妹有口难开#黑神话悟空##黑神话悟空创作者激励#，仔细观察，四妹的头发是盘着的，只有结过婚的才盘大家怎么看，天命人已经兜兜转转转世过好几次了，这个天命人是这一世的转世，所以鹤仙人说下辈子还闹腾的话去天庭找他，2️⃣四妹是盘发的，这个发型是已婚女性的发型，而且他们有孩子的，也是一只小蜘蛛，剧情里有一个情节从四妹袖口里爬出来一只小蜘蛛，四妹说连她也想出去外面的世界看看']","['四妹', '仙人', '孩子', '剧情', '故事', '黑神话悟空', '世界', '代表', '女性', '主角']",24
25,25_大作_女玩家_微博_选择,"['大作', '女玩家', '微博', '选择', '发动', '黑猴', '一群', '女性玩家', '恋与深空', '造谣']","['一群乙女跑来围攻恋与深空的男玩家说你们没割屌不许玩，男玩家们都选择原谅了她们，更没有上升到游戏本体，反观当初黑猴，一个路人说了句3A大作不需要女玩家，就被造谣成黑神话悟空不需要女玩家，然后发动数据女工大规模抵制，\u200b\u200b::Deemo琦，，说的跟你原来会买一样，3A大作不需要女性玩家，评论我的微博：.…．．那个黑悟空的参与人员的发言也', '一群乙女跑来围攻恋与深空的男玩家说你们没割屌不许玩，男玩家们都选择原谅了她们，更没有上升到游戏本体，反观当初黑猴，一个路人说了句3A大作不需要女玩家，就被造谣成黑神话悟空不需要女玩家，然后发动数据女工大规模抵制，\u200b\u200b::Deemo琦，，说的跟你原来会买一样，3A大作不需要女性玩家，评论我的微博：.…．．那个黑悟空的参与人员的发言也', '还真是//一群乙女跑来围攻恋与深空的男玩家说你们没割屌不许玩，男玩家们都选择原谅了她们，更没有上升到游戏本体，反观当初黑猴，一个路人说了句3A大作不需要女玩家，就被造谣成黑神话悟空不需要女玩家，然后发动数据女工大规模抵制，\u200b\u200b::Deemo琦，，说的跟你原来会买一样，3A大作不需要女性玩家，评论我的微博：.…．．那个黑悟空的参与人']","['大作', '女玩家', '微博', '选择', '发动', '黑猴', '一群', '女性玩家', '恋与深空', '造谣']",24
26,26_影响_言论_工作室_代表,"['影响', '言论', '工作室', '代表', '意识', '导致', '成立', '社会', '公司', '全女']","['恶臭全女游戏公司道歉了，但这个游戏我不会玩，你不懂的去问男的，首先，我代表工作室向所有网友们表示最深切的歉意，论会产生不好的社会影响，并对此感到非常抱款，在2024.8.29，因为本人有抑郁症导致心情不好，在工作室群里发表了一系，列不当言论，意识到我的言论不妥后，我立即采取了补救措施来缓解影响，1.我们并没有成立公司，无网上所传的逃避缴税情况，我们目前只是由热爱游戏的，62.对于之前', '妇科疾病玉玉症全女游戏公司道歉了，但这个游戏我不会玩，你不懂的去问男的，首先，我代表工作室向所有网友们表示最深切的歉意，论会产生不好的社会影响，并对此感到非常抱款，在2024.8.29，因为本人有抑郁症导致心情不好，在工作室群里发表了一系，列不当言论，意识到我的言论不妥后，我立即采取了补救措施来缓解影响，1.我们并没有成立公司，无网上所传的逃避缴税情况，我们目前只是由热爱游戏的，62.对于之前在', '玉玉症快变成妇科病了全女游戏公司道歉了，但这个游戏我不会玩，你不懂的去问男的，首先，我代表工作室向所有网友们表示最深切的歉意，论会产生不好的社会影响，并对此感到非常抱款，在2024.8.29，因为本人有抑郁症导致心情不好，在工作室群里发表了一系，列不当言论，意识到我的言论不妥后，我立即采取了补救措施来缓解影响，1.我们并没有成立公司，无网上所传的逃避缴税情况，我们目前只是由热爱游戏的，62.对于']","['影响', '言论', '工作室', '代表', '意识', '导致', '成立', '社会', '公司', '全女']",24
27,27_印度_希望_团队_国外,"['印度', '希望', '团队', '国外', '讨论', '网友', '有人', '黑神话悟空', '女性', '道理']","['国外网友讨论《黑神话悟空》师徒四人取经团队里为什么没有女性，有人提醒：他们要去的是印度……，我只希望白龙马到了印度以后可以平安无事！。', '国外网友讨论《黑神话悟空》师徒四人取经团队里为什么没有女性，有人提醒：他们要去的是印度……，我只希望白龙马到了印度以后可以平安无事！。', '国外网友讨论《黑神话悟空》师徒四人取经团队里为什么没有女性，有人提醒：他们要去的是印度……，我只希望白龙马到了印度以后可以平安无事！。']","['印度', '希望', '团队', '国外', '讨论', '网友', '有人', '黑神话悟空', '女性', '道理']",23
